p1,p2,p3,p4,q1,q2,q3,q4
1.350345373,0.543642223,1.321044564,0.584453523,26.05999756,37.11999512,6.509999275,34.21999741
1.748466253,0.446993411,1.113095164,0.495882899,9.779999733,28.77000237,1.680000067,10.93000031
3.56683588,0.479956269,2.09169054,0.374875009,5.909999847,82.31999969,10.47000027,80
1.03425777,0.326047361,0.690265477,0.355923414,6.129999161,16.46999741,1.129999876,19.32999802
1.417419314,0.396666676,0.714285731,0.415942073,15.50000191,3.000000238,0.350000054,20.70000267
1.716446161,0.532602787,1.369942188,0.466569752,5.290000439,18.25,1.730000138,6.880000591
0.735516429,0.532212853,2.048192739,0.49321267,3.970000267,7.139999866,1.659999967,2.210000038
1.133989453,0.358754873,1.024767756,0.348314583,13.21000099,12.85000229,3.230000496,6.230000496
1.205645204,0.368421048,1.152849793,0.294326246,7.43999958,9.119998932,3.859999657,16.92000008
2.009790182,0.542895436,1.111111164,1.817847252,7.150000572,7.460000992,0.450000048,10.87000084
1.559921384,0.756043971,1.186666727,0.257704139,5.090000153,4.550000191,2.25,25.96000099
2.408833504,0.563824117,1.305921078,0.530219018,8.82999897,56.16999817,9.119998932,37.88999557
5.754658222,0.462740391,1.738095284,0.93960923,3.220000267,8.320000648,2.100000143,11.26000118
1.390710354,0.447272718,0.408333331,0.567187488,3.660000086,5.5,1.200000048,6.400000095
1.073333383,0.465175718,2.21784234,0.27183342,4.499999523,15.64999866,9.639998436,34.57999802
1.497175097,0.558441579,2.005376339,0.683516443,5.309999943,6.159999847,1.860000014,4.550000191
1.68910253,0.485013634,3.650406361,0.499534011,3.119999886,11.01000023,1.230000019,10.7300005
1.302151561,0.507352948,1.072580576,0.498095244,10.68999863,8.159998894,3.71999979,20.99999809
1.261431456,0.442403167,1.589552283,0.432218313,10.05999851,20.13999557,1.339999914,11.35999775
1.746688724,0.322489381,1.101973653,0.409104526,6.040000916,28.2800045,3.040000439,33.3900032
0.733685255,0.5249511,1.369942188,0.246293738,20.83999825,20.43999863,6.919999599,50.58999252
2.235000134,0.828507781,3.166666508,0.515315294,2,4.490000248,0.180000007,5.550000191
1.395049453,0.262649477,1.400921702,0.353177935,20.19999695,21.73999596,4.339999199,59.62998962
1.826086998,0.609427631,1.923076868,0.718858123,4.829999447,11.87999916,0.389999986,11.55999947
1.164241195,0.392542362,1.216666698,0.567630053,9.619999886,14.75,1.800000072,8.649999619
1.32957387,0.405652553,1.554263592,0.62925601,7.979999065,24.05999756,2.579999924,7.929999352
1.13758862,0.353811979,0.416666657,0.26625213,7.049999714,13.51000118,0.600000024,17.68999863
1.649561048,0.572404385,0.97647059,0.398351669,14.80999947,7.320000172,0.850000024,18.19999886
2.560415506,0.403752923,1.017045498,1.279182315,18.28999519,63.94998169,3.519999027,18.58999634
2.204698086,0.32391715,0.40625003,0.669865668,2.980000257,5.31000042,0.960000038,5.210000515
1.456521749,1.027713656,1.018181801,1.026315808,5.519999504,4.329999447,1.649999738,7.599999428
1.394897342,0.351378947,0.300000012,0.316815615,18.03000069,9.789999962,5.599999905,12.30999947
1.413793087,0.467330426,1.739473701,0.41070354,3.479999781,16.06999779,3.799999714,16.62999916
1.216158748,0.505067289,1.603026867,0.323386699,14.1099968,60.18997955,8.589997292,82.43997955
0.974481702,0.425816029,0.655436456,0.299456954,12.54000092,6.740000248,6.53000021,12.89000034
0.981395364,0.44342196,0.610634625,0.259204715,8.599999428,29.33999634,5.829999447,47.52999496
0.622183681,0.331645578,0.750788629,0.552158237,5.770000935,11.85000229,6.340001106,11.12000084
1.469655156,0.382336497,1.577639699,0.560117304,14.5,17.88999939,1.610000014,6.820000172
1.519909024,0.620975196,2.074688911,0.5211761,8.789999962,21.73999977,2.410000086,28.56999969
1.455000043,0.352289528,1.284023643,0.92870903,6.000000477,13.54000187,1.690000176,5.190000534
0.865872622,0.3925699,0.699441373,0.379075378,19.31000328,104.4400253,17.90000343,95.39002228
2.05084753,0.485996693,2.623318434,0.916093528,4.130000591,18.2100029,2.230000257,21.81000137
1.416904092,0.479912341,0.217073172,0.511278212,21.05999756,13.68999767,8.199998856,2.659999609
1.06949234,0.45940873,0.461247623,0.294302672,20.29000282,21.30999947,5.289999962,28.6099987
1.819861412,0.567853153,1.183431983,0.456533045,17.32000351,35.96000671,5.070001602,19.21000481
2.540315866,0.62844038,1.953757286,1.521489978,12.03000069,37.06000519,1.730000257,6.980000496
1.48564446,0.366143614,0.757946193,0.464566946,16.37000084,21.03000069,4.090000153,20.31999969
